Critical Section Name:,# of method calls in first level,total # of method calls,# of synchronized method calls in first level,total # of sync method calls,Growth from first level,Number of allocations in first level,Total # of allocations,Growth from first level,total # lines of IR
"<org.h2.mvstore.FreeSpaceBitSet: boolean isFree(long,int)>",3,88,0,2,0.96590906,0,39,1.0,479
"<org.h2.mvstore.FreeSpaceBitSet: boolean isUsed(long,int)>",3,88,0,2,0.96590906,0,39,1.0,479
"<org.h2.mvstore.FreeSpaceBitSet: long allocate(int)>",5,280,0,6,0.98214287,0,121,1.0,1565
"<org.h2.mvstore.FreeSpaceBitSet: void clear()>",2,106,0,2,0.9811321,0,43,1.0,554
"<org.h2.mvstore.FreeSpaceBitSet: void free(long,int)>",3,105,0,2,0.9714286,0,43,1.0,591
"<org.h2.mvstore.FreeSpaceBitSet: void markUsed(long,int)>",3,108,0,2,0.9722222,0,43,1.0,565
"<org.h2.mvstore.MVMap: boolean remove(java.lang.Object,java.lang.Object)>",3,20637,0,304,0.9998546,0,5100,1.0,100902
"<org.h2.mvstore.MVMap: boolean replace(java.lang.Object,java.lang.Object,java.lang.Object)>",3,20649,0,304,0.99985474,0,5100,1.0,100927
"<org.h2.mvstore.MVMap: java.lang.Object putIfAbsent(java.lang.Object,java.lang.Object)>",2,20647,0,304,0.99990314,0,5100,1.0,100912
"<org.h2.mvstore.MVMap: java.lang.Object replace(java.lang.Object,java.lang.Object)>",2,20647,0,304,0.99990314,0,5100,1.0,100912
-,=SUM(B2:B138),=SUM(C2:C138),=SUM(D2:D138),=SUM(E2:E138),=AVERAGE(F2:F138),=SUM(G2:G138),=SUM(H2:H138),=AVERAGE(I2:I138),=SUM(J2:J138)
